"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2021 August","Fingal - houses","Base 2015=100","133.5"
"Residential Property Price Index","2021 August","South Dublin - houses","Base 2015=100","135.8"
"Residential Property Price Index","2021 August","National excluding Dublin - all residential properties","Base 2015=100","163.1"
"Residential Property Price Index","2021 August","National excluding Dublin - houses","Base 2015=100","161.5"
"Residential Property Price Index","2021 August","National excluding Dublin - apartments","Base 2015=100","184.1"
"Residential Property Price Index","2021 August","Border - houses","Base 2015=100","167.9"
"Residential Property Price Index","2021 August","Midland - houses","Base 2015=100","177.2"
"Residential Property Price Index","2021 August","West - houses","Base 2015=100","182.3"
"Residential Property Price Index","2021 August","Mid-East - houses","Base 2015=100","146.8"
"Residential Property Price Index","2021 August","Mid-West - houses","Base 2015=100","168.6"
"Residential Property Price Index","2021 August","South-East - houses","Base 2015=100","165.7"
"Residential Property Price Index","2021 August","South-West - houses","Base 2015=100","162.9"
"Residential Property Price Index","2021 September","National - all residential properties","Base 2015=100","151.5"
"Residential Property Price Index","2021 September","National - houses","Base 2015=100","151.5"
"Residential Property Price Index","2021 September","National - apartments","Base 2015=100","153.7"
"Residential Property Price Index","2021 September","Dublin - all residential properties","Base 2015=100","138.1"
"Residential Property Price Index","2021 September","Dublin - houses","Base 2015=100","137.8"
"Residential Property Price Index","2021 September","Dublin - apartments","Base 2015=100","141.3"
"Residential Property Price Index","2021 September","Dublin City - houses","Base 2015=100","137.8"
"Residential Property Price Index","2021 September","Dun Laoghaire-Rathdown - houses","Base 2015=100","135.6"
"Residential Property Price Index","2021 September","Fingal - houses","Base 2015=100","135.7"
"Residential Property Price Index","2021 September","South Dublin - houses","Base 2015=100","137.2"
"Residential Property Price Index","2021 September","National excluding Dublin - all residential properties","Base 2015=100","166.1"
"Residential Property Price Index","2021 September","National excluding Dublin - houses","Base 2015=100","164.5"
"Residential Property Price Index","2021 September","National excluding Dublin - apartments","Base 2015=100","186.1"
"Residential Property Price Index","2021 September","Border - houses","Base 2015=100","172"
"Residential Property Price Index","2021 September","Midland - houses","Base 2015=100","179.4"
"Residential Property Price Index","2021 September","West - houses","Base 2015=100","185.8"
"Residential Property Price Index","2021 September","Mid-East - houses","Base 2015=100","149.2"
"Residential Property Price Index","2021 September","Mid-West - houses","Base 2015=100","169.6"
"Residential Property Price Index","2021 September","South-East - houses","Base 2015=100","170.6"
"Residential Property Price Index","2021 September","South-West - houses","Base 2015=100","166.8"
"Residential Property Price Index","2021 October","National - all residential properties","Base 2015=100","153.3"
"Residential Property Price Index","2021 October","National - houses","Base 2015=100","153.4"
"Residential Property Price Index","2021 October","National - apartments","Base 2015=100","155"
"Residential Property Price Index","2021 October","Dublin - all residential properties","Base 2015=100","139.3"
"Residential Property Price Index","2021 October","Dublin - houses","Base 2015=100","139.2"
"Residential Property Price Index","2021 October","Dublin - apartments","Base 2015=100","142"
"Residential Property Price Index","2021 October","Dublin City - houses","Base 2015=100","139.9"
"Residential Property Price Index","2021 October","Dun Laoghaire-Rathdown - houses","Base 2015=100","137.2"
"Residential Property Price Index","2021 October","Fingal - houses","Base 2015=100","136.1"
"Residential Property Price Index","2021 October","South Dublin - houses","Base 2015=100","137.7"
"Residential Property Price Index","2021 October","National excluding Dublin - all residential properties","Base 2015=100","168.5"
"Residential Property Price Index","2021 October","National excluding Dublin - houses","Base 2015=100","166.9"
"Residential Property Price Index","2021 October","National excluding Dublin - apartments","Base 2015=100","189.4"
"Residential Property Price Index","2021 October","Border - houses","Base 2015=100","173.9"
"Residential Property Price Index","2021 October","Midland - houses","Base 2015=100","181.8"
"Residential Property Price Index","2021 October","West - houses","Base 2015=100","188.2"
"Residential Property Price Index","2021 October","Mid-East - houses","Base 2015=100","151.7"
"Residential Property Price Index","2021 October","Mid-West - houses","Base 2015=100","171.2"
"Residential Property Price Index","2021 October","South-East - houses","Base 2015=100","174.1"
"Residential Property Price Index","2021 October","South-West - houses","Base 2015=100","168.7"
"Residential Property Price Index","2021 November","National - all residential properties","Base 2015=100","155.3"
"Residential Property Price Index","2021 November","National - houses","Base 2015=100","155.3"
"Residential Property Price Index","2021 November","National - apartments","Base 2015=100","157.5"
"Residential Property Price Index","2021 November","Dublin - all residential properties","Base 2015=100","140.7"
"Residential Property Price Index","2021 November","Dublin - houses","Base 2015=100","140.4"
"Residential Property Price Index","2021 November","Dublin - apartments","Base 2015=100","143.9"
"Residential Property Price Index","2021 November","Dublin City - houses","Base 2015=100","141.5"
"Residential Property Price Index","2021 November","Dun Laoghaire-Rathdown - houses","Base 2015=100","138.4"
"Residential Property Price Index","2021 November","Fingal - houses","Base 2015=100","137.8"
"Residential Property Price Index","2021 November","South Dublin - houses","Base 2015=100","137.9"
"Residential Property Price Index","2021 November","National excluding Dublin - all residential properties","Base 2015=100","171"
"Residential Property Price Index","2021 November","National excluding Dublin - houses","Base 2015=100","169.3"
"Residential Property Price Index","2021 November","National excluding Dublin - apartments","Base 2015=100","193.7"
"Residential Property Price Index","2021 November","Border - houses","Base 2015=100","176.7"
"Residential Property Price Index","2021 November","Midland - houses","Base 2015=100","186.6"
"Residential Property Price Index","2021 November","West - houses","Base 2015=100","190.1"
"Residential Property Price Index","2021 November","Mid-East - houses","Base 2015=100","154.5"
"Residential Property Price Index","2021 November","Mid-West - houses","Base 2015=100","171.5"
"Residential Property Price Index","2021 November","South-East - houses","Base 2015=100","176.7"
"Residential Property Price Index","2021 November","South-West - houses","Base 2015=100","171"
"Residential Property Price Index","2021 December","National - all residential properties","Base 2015=100","156.7"
"Residential Property Price Index","2021 December","National - houses","Base 2015=100","156.7"
"Residential Property Price Index","2021 December","National - apartments","Base 2015=100","158.8"
"Residential Property Price Index","2021 December","Dublin - all residential properties","Base 2015=100","141.5"
"Residential Property Price Index","2021 December","Dublin - houses","Base 2015=100","141.2"
"Residential Property Price Index","2021 December","Dublin - apartments","Base 2015=100","144.9"
"Residential Property Price Index","2021 December","Dublin City - houses","Base 2015=100","142.3"
"Residential Property Price Index","2021 December","Dun Laoghaire-Rathdown - houses","Base 2015=100","138.4"
"Residential Property Price Index","2021 December","Fingal - houses","Base 2015=100","139.2"
"Residential Property Price Index","2021 December","South Dublin - houses","Base 2015=100","139.2"
"Residential Property Price Index","2021 December","National excluding Dublin - all residential properties","Base 2015=100","173.1"
"Residential Property Price Index","2021 December","National excluding Dublin - houses","Base 2015=100","171.3"
"Residential Property Price Index","2021 December","National excluding Dublin - apartments","Base 2015=100","195.9"
